team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_finishing ,department_sweing,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,month,day_of_week
8,0.8,26.16,1108.0,7080,98.0,0.0,0,0,59.0,0.940725424,False,False,False,False,False,True,False,False,True,False,False,1,3
1,0.75,3.94,1039.0,960,0.0,0.0,0,0,8.0,0.8865,False,False,False,False,True,False,False,False,True,False,False,1,3
11,0.8,11.41,968.0,3660,50.0,0.0,0,0,30.5,0.800570492,False,False,False,False,False,True,False,False,True,False,False,1,3
12,0.8,11.41,968.0,3660,50.0,0.0,0,0,30.5,0.800570492,False,False,False,False,False,True,False,False,True,False,False,1,3
6,0.8,25.9,1170.0,1920,50.0,0.0,0,0,56.0,0.800381944,False,False,False,False,False,True,False,False,True,False,False,1,3
7,0.8,25.9,984.0,6720,38.0,0.0,0,0,56.0,0.800125,False,False,False,False,False,True,False,False,True,False,False,1,3
2,0.75,3.94,1039.0,960,0.0,0.0,0,0,8.0,0.755166667,False,False,False,False,True,False,False,False,True,False,False,1,3
3,0.75,28.08,795.0,6900,45.0,0.0,0,0,57.5,0.753683478,False,False,False,False,False,True,False,False,True,False,False,1,3
2,0.75,19.87,733.0,6000,34.0,0.0,0,0,55.0,0.753097531,False,False,False,False,False,True,False,False,True,False,False,1,3
1,0.75,28.08,681.0,6900,45.0,0.0,0,0,57.5,0.750427826,False,False,False,False,False,True,False,False,True,False,False,1,3
9,0.7,28.08,872.0,6900,44.0,0.0,0,0,57.5,0.721126957,False,False,False,False,False,True,False,False,True,False,False,1,3
10,0.75,19.31,578.0,6480,45.0,0.0,0,0,54.0,0.712205247,False,False,False,False,False,True,False,False,True,False,False,1,3
5,0.8,11.41,668.0,3660,50.0,0.0,0,0,30.5,0.707045902,False,False,False,False,False,True,False,False,True,False,False,1,3
10,0.65,3.94,1039.0,960,0.0,0.0,0,0,8.0,0.705916667,False,False,False,False,True,False,False,False,True,False,False,1,3
8,0.75,2.9,1039.0,960,0.0,0.0,0,0,8.0,0.676666667,False,False,False,False,True,False,False,False,True,False,False,1,3
4,0.75,3.94,1039.0,2160,0.0,0.0,0,0,18.0,0.593055556,False,False,False,False,True,False,False,False,True,False,False,1,3
7,0.8,2.9,1039.0,960,0.0,0.0,0,0,8.0,0.540729167,False,False,False,False,True,False,False,False,True,False,False,1,3
4,0.65,23.69,861.0,7200,0.0,0.0,0,0,60.0,0.52118,False,False,False,False,False,True,False,False,True,False,False,1,3
11,0.7,4.15,1039.0,1440,0.0,0.0,0,0,12.0,0.436326389,False,False,False,False,False,False,False,False,True,False,False,1,3
4,0.8,4.15,1039.0,6600,0.0,0.0,0,0,20.0,0.988024691,False,False,False,False,True,False,True,False,False,False,False,1,5
11,0.75,2.9,1039.0,5640,0.0,0.0,0,0,17.0,0.987880435,False,False,False,False,True,False,True,False,False,False,False,1,5
9,0.8,4.15,1039.0,960,0.0,0.0,0,0,8.0,0.956270833,False,False,False,False,True,False,True,False,False,False,False,1,5
3,0.75,3.94,1039.0,1560,0.0,0.0,0,0,8.0,0.945277778,False,False,False,False,True,False,True,False,False,False,False,1,5
1,0.8,3.94,1039.0,960,0.0,0.0,0,0,8.0,0.902916667,False,False,False,False,True,False,True,False,False,False,False,1,5
1,0.8,28.08,772.0,6300,50.0,0.0,0,0,56.5,0.800725314,False,False,False,False,False,True,True,False,False,False,False,1,5
3,0.8,28.08,913.0,6540,50.0,0.0,0,0,54.5,0.800322936,False,False,False,False,False,True,True,False,False,False,False,1,5
8,0.8,26.16,1261.0,7080,50.0,0.0,0,0,59.0,0.800318644,False,False,False,False,False,True,True,False,False,False,False,1,5
12,0.8,26.16,844.0,7080,63.0,0.0,0,0,59.0,0.800318644,False,False,False,False,False,True,True,False,False,False,False,1,5
11,0.8,11.61,1005.0,7080,50.0,0.0,0,0,29.5,0.800237288,False,False,False,False,False,True,True,False,False,False,False,1,5
5,0.8,11.61,659.0,7080,50.0,0.0,0,0,31.5,0.800148649,False,False,False,False,False,True,True,False,False,False,False,1,5
6,0.8,25.9,1152.0,6720,50.0,0.0,0,0,56.0,0.800125,False,False,False,False,False,True,True,False,False,False,False,1,5
7,0.8,25.9,1138.0,6720,38.0,0.0,0,0,56.0,0.800125,False,False,False,False,False,True,True,False,False,False,False,1,5
